Time(s),FX1,L-Fx1,L-Fy1,L-Fz1,L-Mx1,L-My1,L-Mz1,L-Fx2,L-Fy2,L-Fz2,L-Mx2,L-My2,L-Mz2,L-Fx3,L-Fy3,L-Fz3,L-Mx3,L-My3,L-Mz3,L-AccelX,L-AccelY,L-AccelZ,L-GyroX,L-GyroY,L-GyroZ,R-Fx1,R-Fy1,R-Fz1,R-Mx1,R-My1,R-Mz1,R-Fx2,R-Fy2,R-Fz2,R-Mx2,R-My2,R-Mz2,R-Fx3,R-Fy3,R-Fz3,R-Mx3,R-My3,R-Mz3,R-AccelX,R-AccelY,R-AccelZ,R-GyroX,R-GyroY,R-GyroZ,L-X,L-Y,L-Z,R-X,R-Y,R-Z
0,0,-16.02040816,39.46938776,118.2244898,-0.510204082,17.81632653,-69.55102041,46.81632653,54.3877551,85.16326531,-2.93877551,-51.7755102,-296.7959184,14.46938776,-47.48979592,156.755102,-57.16326531,32.46938776,13,-0.01,0.03,0.97,0.7,-5.8,-7.7,18.48,10.48,92.64,-52.4,10.32,-17.54,-136.58,-91.16,237.4,-157.24,71.1,141.26,48.48,32.08,240.38,-0.16,20.98,-47.12,0,0.04,0.97,0,-2.8,-2.6,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.02,0,-11.02040816,43.46938776,118.2244898,-0.510204082,19.81632653,-59.55102041,42.81632653,62.3877551,89.16326531,-2.93877551,-52.7755102,-323.7959184,17.46938776,-43.48979592,155.755102,-55.16326531,29.46938776,20,0,0.04,0.97,0.7,-5.6,-7.7,13.48,6.48,91.64,-52.4,13.32,-21.54,-137.58,-82.16,239.4,-156.24,73.1,120.26,46.48,32.08,239.38,0.84,22.98,-52.12,0,0.05,0.98,-0.3,-2.8,-2.4,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.04,0,-9.020408163,43.46938776,115.2244898,-3.510204082,16.81632653,-76.55102041,45.81632653,65.3877551,92.16326531,-1.93877551,-50.7755102,-318.7959184,18.46938776,-47.48979592,156.755102,-57.16326531,31.46938776,22,0,0.03,0.97,0.7,-5.6,-7.6,12.48,11.48,88.64,-50.4,12.32,-3.54,-137.58,-82.16,238.4,-154.24,70.1,133.26,47.48,30.08,233.38,-0.16,21.98,-48.12,0.01,0.05,0.98,-0.1,-2.6,-2.4,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.06,0,-15.02040816,45.46938776,117.2244898,-2.510204082,17.81632653,-65.55102041,46.81632653,54.3877551,76.16326531,-6.93877551,-57.7755102,-280.7959184,19.46938776,-45.48979592,160.755102,-58.16326531,31.46938776,19,0,0.04,0.98,0.2,-5.5,-7.7,12.48,8.48,97.64,-56.4,12.32,-15.54,-141.58,-90.16,236.4,-153.24,71.1,144.26,48.48,30.08,229.38,-0.16,18.98,-54.12,0,0.04,0.97,-0.1,-2.6,-2.8,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.08,0,-13.02040816,45.46938776,118.2244898,0.489795918,18.81632653,-43.55102041,50.81632653,55.3877551,74.16326531,-10.93877551,-57.7755102,-293.7959184,17.46938776,-46.48979592,162.755102,-59.16326531,32.46938776,16,-0.01,0.03,0.97,0.5,-5.6,-7.7,15.48,12.48,96.64,-52.4,13.32,-7.54,-137.58,-87.16,237.4,-154.24,69.1,119.26,47.48,29.08,224.38,0.84,18.98,-48.12,0,0.05,0.98,0,-2.7,-2.5,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.1,0,-13.02040816,45.46938776,118.2244898,-4.510204082,19.81632653,-60.55102041,46.81632653,62.3877551,89.16326531,-6.93877551,-52.7755102,-311.7959184,18.46938776,-43.48979592,164.755102,-57.16326531,32.46938776,19,-0.01,0.04,0.97,0.7,-5.6,-7.7,16.48,14.48,91.64,-52.4,11.32,-24.54,-138.58,-89.16,237.4,-155.24,71.1,122.26,46.48,28.08,217.38,0.84,17.98,-57.12,0,0.04,0.98,0,-2.6,-2.6,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.12,0,-11.02040816,41.46938776,119.2244898,-4.510204082,18.81632653,-54.55102041,45.81632653,59.3877551,85.16326531,-9.93877551,-53.7755102,-282.7959184,18.46938776,-42.48979592,162.755102,-56.16326531,33.46938776,18,-0.01,0.03,0.97,0.5,-5.6,-7.6,16.48,11.48,99.64,-55.4,11.32,-29.54,-134.58,-89.16,236.4,-150.24,70.1,114.26,47.48,26.08,215.38,0.84,16.98,-55.12,0,0.05,0.97,-0.3,-2.6,-2.4,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.14,0,-9.020408163,41.46938776,119.2244898,-7.510204082,20.81632653,-59.55102041,44.81632653,62.3877551,86.16326531,-11.93877551,-53.7755102,-282.7959184,18.46938776,-41.48979592,166.755102,-58.16326531,32.46938776,17,-0.01,0.03,0.97,0.5,-5.6,-7.9,19.48,7.48,95.64,-54.4,12.32,-17.54,-137.58,-86.16,235.4,-153.24,70.1,113.26,46.48,27.08,211.38,1.84,17.98,-50.12,0,0.04,0.98,-0.3,-2.6,-2.6,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.16,0,-15.02040816,46.46938776,119.2244898,-2.510204082,17.81632653,-43.55102041,48.81632653,60.3877551,85.16326531,-13.93877551,-55.7755102,-321.7959184,18.46938776,-41.48979592,169.755102,-57.16326531,33.46938776,20,0,0.03,0.98,0.4,-5.5,-7.7,11.48,12.48,101.64,-55.4,11.32,-24.54,-136.58,-89.16,234.4,-151.24,70.1,137.26,44.48,29.08,208.38,2.84,16.98,-49.12,0,0.05,0.98,-0.4,-2.6,-2.4,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.18,0,-16.02040816,43.46938776,121.2244898,-2.510204082,18.81632653,-74.55102041,49.81632653,61.3877551,88.16326531,-12.93877551,-54.7755102,-308.7959184,18.46938776,-42.48979592,169.755102,-60.16326531,33.46938776,18,0,0.04,0.98,0.4,-5.8,-7.7,18.48,10.48,101.64,-57.4,11.32,-23.54,-138.58,-84.16,233.4,-149.24,71.1,105.26,43.48,26.08,206.38,0.84,16.98,-53.12,0,0.04,0.98,-0.3,-2.8,-2.6,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.2,0,-16.02040816,44.46938776,116.2244898,-1.510204082,15.81632653,-64.55102041,50.81632653,63.3877551,86.16326531,-13.93877551,-55.7755102,-277.7959184,19.46938776,-39.48979592,170.755102,-58.16326531,33.46938776,19,-0.01,0.04,0.98,0.6,-5.5,-7.4,15.48,12.48,97.64,-55.4,12.32,-16.54,-132.58,-91.16,232.4,-151.24,70.1,131.26,45.48,27.08,204.38,2.84,17.98,-52.12,0,0.05,0.97,-0.5,-3,-2.5,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.22,0,-14.02040816,43.46938776,117.2244898,-2.510204082,18.81632653,-56.55102041,52.81632653,60.3877551,89.16326531,-13.93877551,-54.7755102,-296.7959184,19.46938776,-43.48979592,169.755102,-58.16326531,34.46938776,29,-0.01,0.04,0.97,0.7,-5.9,-7.5,13.48,9.48,99.64,-56.4,14.32,-20.54,-138.58,-92.16,235.4,-152.24,73.1,115.26,45.48,27.08,203.38,2.84,15.98,-56.12,0,0.05,0.98,-0.5,-3.1,-2.4,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.24,0,-11.02040816,45.46938776,121.2244898,-6.510204082,21.81632653,-62.55102041,48.81632653,61.3877551,89.16326531,-9.93877551,-55.7755102,-305.7959184,20.46938776,-43.48979592,168.755102,-59.16326531,33.46938776,20,-0.01,0.04,0.97,0.7,-6,-7.5,13.48,15.48,95.64,-53.4,15.32,6.46,-135.58,-96.16,233.4,-150.24,71.1,129.26,45.48,29.08,203.38,3.84,15.98,-56.12,0,0.05,0.98,-0.6,-3.2,-2.6,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.26,0,-13.02040816,47.46938776,119.2244898,-5.510204082,21.81632653,-32.55102041,46.81632653,62.3877551,89.16326531,-11.93877551,-53.7755102,-289.7959184,18.46938776,-41.48979592,167.755102,-58.16326531,36.46938776,18,-0.01,0.04,0.97,0.6,-5.9,-7.5,11.48,10.48,98.64,-56.4,12.32,-20.54,-138.58,-90.16,235.4,-152.24,71.1,106.26,45.48,29.08,206.38,3.84,16.98,-49.12,0.01,0.05,0.98,-0.7,-3.1,-2.5,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.28,0,-11.02040816,40.46938776,119.2244898,-5.510204082,17.81632653,-88.55102041,50.81632653,57.3877551,86.16326531,-13.93877551,-54.7755102,-310.7959184,21.46938776,-39.48979592,165.755102,-56.16326531,32.46938776,25,0,0.04,0.97,0.7,-5.9,-7.5,15.48,12.48,97.64,-56.4,12.32,-13.54,-140.58,-93.16,236.4,-150.24,71.1,132.26,45.48,28.08,209.38,2.84,16.98,-48.12,0,0.05,0.98,-0.5,-3,-2.6,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.3,0,-9.020408163,42.46938776,117.2244898,-5.510204082,18.81632653,-41.55102041,46.81632653,61.3877551,85.16326531,-11.93877551,-53.7755102,-300.7959184,21.46938776,-43.48979592,163.755102,-60.16326531,33.46938776,17,0,0.04,0.98,0.8,-5.7,-7.6,12.48,11.48,97.64,-53.4,14.32,4.46,-136.58,-91.16,237.4,-154.24,71.1,129.26,46.48,27.08,207.38,0.84,15.98,-56.12,0.01,0.05,0.98,-0.4,-3.2,-2.5,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.32,0,-12.02040816,44.46938776,118.2244898,-5.510204082,19.81632653,-55.55102041,43.81632653,60.3877551,93.16326531,-9.93877551,-48.7755102,-295.7959184,21.46938776,-44.48979592,162.755102,-59.16326531,33.46938776,20,0,0.04,0.97,0.8,-5.9,-7.6,14.48,12.48,95.64,-55.4,12.32,1.46,-137.58,-90.16,241.4,-155.24,71.1,131.26,44.48,27.08,208.38,0.84,17.98,-54.12,0.01,0.05,0.98,-0.3,-3.1,-2.6,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.34,0,-11.02040816,44.46938776,117.2244898,-2.510204082,17.81632653,-65.55102041,48.81632653,56.3877551,89.16326531,-9.93877551,-52.7755102,-304.7959184,21.46938776,-44.48979592,157.755102,-60.16326531,33.46938776,20,-0.01,0.03,0.97,0.7,-5.8,-7.6,15.48,12.48,102.64,-57.4,12.32,-33.54,-139.58,-90.16,242.4,-155.24,71.1,125.26,44.48,29.08,205.38,1.84,16.98,-47.12,0.01,0.05,0.98,-0.1,-3.1,-2.6,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.36,0,-14.02040816,46.46938776,121.2244898,-5.510204082,18.81632653,-72.55102041,45.81632653,60.3877551,89.16326531,-9.93877551,-51.7755102,-308.7959184,21.46938776,-42.48979592,157.755102,-57.16326531,33.46938776,20,-0.01,0.04,0.98,0.7,-6,-7.7,11.48,16.48,106.64,-61.4,15.32,-8.54,-144.58,-88.16,244.4,-158.24,74.1,116.26,44.48,26.08,203.38,1.84,15.98,-63.12,0,0.05,0.98,0,-2.8,-2.5,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.38,0,-13.02040816,45.46938776,117.2244898,-1.510204082,18.81632653,-42.55102041,53.81632653,65.3877551,87.16326531,-9.93877551,-54.7755102,-313.7959184,22.46938776,-44.48979592,154.755102,-57.16326531,31.46938776,19,0,0.03,0.97,0.7,-6.2,-7.7,10.48,13.48,103.64,-61.4,16.32,-3.54,-144.58,-89.16,247.4,-156.24,71.1,127.26,44.48,26.08,198.38,0.84,14.98,-58.12,0,0.04,0.97,0,-3.1,-2.7,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.4,0,-12.02040816,45.46938776,117.2244898,-5.510204082,17.81632653,-44.55102041,50.81632653,58.3877551,82.16326531,-10.93877551,-53.7755102,-295.7959184,18.46938776,-44.48979592,154.755102,-57.16326531,33.46938776,11,0,0.04,0.97,0.7,-5.8,-7.8,10.48,15.48,102.64,-59.4,15.32,4.46,-141.58,-82.16,250.4,-160.24,70.1,110.26,41.48,28.08,197.38,3.84,15.98,-60.12,0,0.05,0.98,-0.1,-3.1,-2.7,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.42,0,-14.02040816,46.46938776,120.2244898,-3.510204082,18.81632653,-62.55102041,44.81632653,55.3877551,82.16326531,-11.93877551,-56.7755102,-302.7959184,19.46938776,-43.48979592,149.755102,-55.16326531,32.46938776,18,0,0.04,0.98,0.7,-5.9,-7.6,7.48,15.48,106.64,-61.4,16.32,-20.54,-148.58,-85.16,250.4,-159.24,74.1,132.26,41.48,24.08,192.38,0.84,13.98,-51.12,0,0.05,0.98,-0.3,-3,-2.6,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.44,0,-13.02040816,38.46938776,117.2244898,-3.510204082,17.81632653,-71.55102041,47.81632653,55.3877551,80.16326531,-12.93877551,-56.7755102,-272.7959184,22.46938776,-44.48979592,149.755102,-58.16326531,31.46938776,20,-0.01,0.03,0.97,0.4,-5.9,-7.8,8.48,15.48,106.64,-62.4,15.32,-4.54,-145.58,-88.16,255.4,-164.24,74.1,118.26,39.48,26.08,192.38,1.84,16.98,-60.12,0,0.04,0.98,-0.3,-3.1,-2.6,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.46,0,-16.02040816,40.46938776,117.2244898,1.489795918,16.81632653,-68.55102041,42.81632653,60.3877551,85.16326531,-9.93877551,-53.7755102,-295.7959184,21.46938776,-44.48979592,148.755102,-56.16326531,32.46938776,22,-0.01,0.04,0.97,0.7,-6,-7.7,11.48,16.48,109.64,-63.4,14.32,-28.54,-156.58,-97.16,256.4,-164.24,79.1,133.26,41.48,27.08,188.38,3.84,13.98,-55.12,0,0.04,0.97,0,-3,-2.5,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.48,0,-13.02040816,45.46938776,116.2244898,-1.510204082,18.81632653,-64.55102041,50.81632653,58.3877551,85.16326531,-10.93877551,-54.7755102,-294.7959184,21.46938776,-47.48979592,149.755102,-59.16326531,31.46938776,20,-0.01,0.03,0.97,0.6,-6.2,-7.6,9.48,18.48,110.64,-65.4,14.32,-32.54,-154.58,-92.16,258.4,-167.24,75.1,125.26,39.48,23.08,186.38,0.84,14.98,-56.12,0.01,0.05,0.98,0,-2.8,-2.5,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.5,0,-14.02040816,45.46938776,117.2244898,-2.510204082,16.81632653,-60.55102041,43.81632653,63.3877551,89.16326531,-7.93877551,-49.7755102,-287.7959184,23.46938776,-43.48979592,146.755102,-57.16326531,31.46938776,21,-0.01,0.04,0.97,0.7,-6,-7.7,8.48,16.48,113.64,-67.4,18.32,-8.54,-151.58,-90.16,260.4,-164.24,71.1,120.26,40.48,24.08,181.38,1.84,13.98,-58.12,0,0.05,0.98,0,-3,-2.4,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.52,0,-18.02040816,51.46938776,120.2244898,-4.510204082,19.81632653,-53.55102041,48.81632653,59.3877551,85.16326531,-9.93877551,-53.7755102,-305.7959184,22.46938776,-47.48979592,147.755102,-57.16326531,31.46938776,22,-0.01,0.03,0.97,0.7,-5.9,-7.7,11.48,14.48,117.64,-71.4,17.32,-7.54,-154.58,-91.16,263.4,-169.24,72.1,124.26,37.48,22.08,179.38,0.84,14.98,-56.12,0,0.05,0.97,-0.3,-3,-2.5,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.54,0,-12.02040816,44.46938776,114.2244898,-0.510204082,15.81632653,-67.55102041,54.81632653,59.3877551,78.16326531,-9.93877551,-59.7755102,-293.7959184,23.46938776,-46.48979592,146.755102,-57.16326531,31.46938776,23,-0.01,0.03,0.97,0.7,-5.9,-7.4,7.48,20.48,114.64,-68.4,17.32,-6.54,-156.58,-89.16,264.4,-169.24,75.1,122.26,38.48,22.08,177.38,0.84,13.98,-57.12,0,0.05,0.97,-0.3,-3,-2.6,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.56,0,-13.02040816,49.46938776,114.2244898,-0.510204082,18.81632653,-47.55102041,49.81632653,58.3877551,86.16326531,-9.93877551,-50.7755102,-298.7959184,23.46938776,-45.48979592,145.755102,-55.16326531,30.46938776,14,0,0.04,0.98,0.7,-5.8,-7.5,6.48,17.48,116.64,-71.4,16.32,-31.54,-155.58,-95.16,262.4,-167.24,74.1,143.26,39.48,22.08,175.38,1.84,12.98,-58.12,0,0.05,0.98,-0.5,-2.8,-2.4,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.58,0,-13.02040816,47.46938776,116.2244898,-3.510204082,15.81632653,-50.55102041,46.81632653,55.3877551,83.16326531,-9.93877551,-56.7755102,-285.7959184,20.46938776,-44.48979592,145.755102,-55.16326531,33.46938776,22,-0.01,0.03,0.97,0.4,-5.9,-7.6,9.48,18.48,112.64,-69.4,18.32,-16.54,-155.58,-94.16,266.4,-168.24,75.1,108.26,36.48,23.08,175.38,2.84,14.98,-56.12,0,0.05,0.98,-0.5,-2.8,-2.6,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.6,0,-4.020408163,39.46938776,120.2244898,-9.510204082,20.81632653,-74.55102041,52.81632653,59.3877551,79.16326531,-9.93877551,-56.7755102,-289.7959184,25.46938776,-45.48979592,145.755102,-57.16326531,30.46938776,15,0,0.03,0.97,0.6,-6,-7.7,6.48,15.48,114.64,-67.4,17.32,20.46,-154.58,-86.16,265.4,-168.24,71.1,105.26,39.48,24.08,178.38,2.84,12.98,-53.12,0,0.04,0.98,-0.8,-3.1,-2.5,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.62,0,-17.02040816,44.46938776,114.2244898,-0.510204082,16.81632653,-56.55102041,48.81632653,59.3877551,88.16326531,-8.93877551,-52.7755102,-275.7959184,22.46938776,-45.48979592,145.755102,-56.16326531,32.46938776,20,-0.01,0.04,0.97,0.3,-5.8,-7.7,7.48,19.48,116.64,-71.4,18.32,-18.54,-155.58,-94.16,264.4,-169.24,72.1,121.26,39.48,26.08,182.38,3.84,13.98,-60.12,0,0.05,0.98,-0.7,-3,-2.5,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.64,0,-13.02040816,45.46938776,121.2244898,-4.510204082,21.81632653,-44.55102041,46.81632653,56.3877551,87.16326531,-8.93877551,-55.7755102,-310.7959184,21.46938776,-46.48979592,148.755102,-55.16326531,33.46938776,18,0,0.04,0.98,0.4,-5.9,-7.7,9.48,11.48,111.64,-70.4,16.32,-14.54,-151.58,-87.16,263.4,-168.24,72.1,119.26,41.48,24.08,182.38,2.84,12.98,-56.12,0,0.05,0.98,-0.9,-2.9,-2.6,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.66,0,-13.02040816,51.46938776,119.2244898,-2.510204082,17.81632653,-61.55102041,48.81632653,56.3877551,77.16326531,-11.93877551,-58.7755102,-290.7959184,22.46938776,-44.48979592,147.755102,-54.16326531,33.46938776,17,0,0.04,0.98,0.4,-6,-7.7,6.48,12.48,121.64,-72.4,16.32,-35.54,-152.58,-95.16,262.4,-167.24,72.1,135.26,38.48,26.08,186.38,2.84,16.98,-57.12,0,0.04,0.98,-0.8,-2.9,-2.5,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.68,0,-13.02040816,47.46938776,115.2244898,-1.510204082,17.81632653,-65.55102041,52.81632653,57.3877551,88.16326531,-7.93877551,-52.7755102,-313.7959184,23.46938776,-46.48979592,147.755102,-57.16326531,32.46938776,19,0,0.03,0.97,0.4,-5.9,-7.7,11.48,13.48,114.64,-71.4,16.32,-14.54,-154.58,-87.16,260.4,-164.24,74.1,118.26,40.48,24.08,189.38,0.84,14.98,-57.12,0,0.05,0.97,-0.9,-3.1,-2.6,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.7,0,-13.02040816,49.46938776,116.2244898,-1.510204082,17.81632653,-60.55102041,45.81632653,57.3877551,92.16326531,-5.93877551,-51.7755102,-295.7959184,24.46938776,-43.48979592,147.755102,-55.16326531,31.46938776,12,-0.01,0.03,0.97,0.6,-5.9,-7.7,8.48,17.48,110.64,-67.4,14.32,-17.54,-153.58,-91.16,257.4,-164.24,73.1,135.26,42.48,25.08,193.38,1.84,13.98,-52.12,0,0.05,0.98,-1,-3.1,-2.4,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.72,0,-13.02040816,44.46938776,122.2244898,-3.510204082,20.81632653,-48.55102041,49.81632653,57.3877551,84.16326531,-8.93877551,-55.7755102,-291.7959184,23.46938776,-44.48979592,149.755102,-55.16326531,31.46938776,15,0,0.04,0.98,0.4,-6.1,-7.6,10.48,12.48,115.64,-70.4,17.32,-14.54,-151.58,-87.16,257.4,-164.24,69.1,119.26,41.48,25.08,192.38,1.84,15.98,-57.12,0,0.05,0.97,-0.9,-3.1,-2.6,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.74,0,-11.02040816,42.46938776,116.2244898,2.489795918,14.81632653,-72.55102041,47.81632653,55.3877551,80.16326531,-8.93877551,-57.7755102,-307.7959184,22.46938776,-42.48979592,145.755102,-53.16326531,32.46938776,15,0,0.04,0.97,0.4,-5.9,-7.6,7.48,14.48,110.64,-65.4,18.32,-0.54,-150.58,-91.16,257.4,-163.24,73.1,123.26,43.48,24.08,193.38,-1.16,13.98,-51.12,0,0.05,0.98,-0.9,-3.2,-2.4,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.76,0,-12.02040816,46.46938776,118.2244898,-0.510204082,15.81632653,-60.55102041,51.81632653,58.3877551,85.16326531,-5.93877551,-56.7755102,-319.7959184,22.46938776,-47.48979592,152.755102,-57.16326531,32.46938776,21,-0.01,0.03,0.97,0.3,-5.9,-7.8,12.48,11.48,106.64,-66.4,15.32,-39.54,-152.58,-87.16,256.4,-160.24,72.1,112.26,43.48,25.08,198.38,-1.16,15.98,-53.12,0.01,0.05,0.98,-0.8,-3.2,-2.6,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.78,0,-14.02040816,41.46938776,114.2244898,-1.510204082,15.81632653,-77.55102041,48.81632653,55.3877551,81.16326531,-8.93877551,-54.7755102,-300.7959184,23.46938776,-44.48979592,151.755102,-55.16326531,32.46938776,17,0,0.04,0.98,0.2,-5.7,-7.7,11.48,13.48,104.64,-62.4,16.32,-4.54,-147.58,-90.16,253.4,-162.24,73.1,121.26,45.48,26.08,201.38,0.84,13.98,-58.12,0,0.05,0.97,-1.2,-3,-2.4,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.8,0,-13.02040816,42.46938776,115.2244898,-0.510204082,15.81632653,-54.55102041,50.81632653,49.3877551,78.16326531,-6.93877551,-57.7755102,-289.7959184,23.46938776,-47.48979592,153.755102,-57.16326531,32.46938776,20,0,0.03,0.97,0.4,-5.9,-7.7,7.48,13.48,107.64,-64.4,15.32,-24.54,-150.58,-88.16,251.4,-161.24,72.1,109.26,44.48,28.08,205.38,0.84,15.98,-54.12,0,0.05,0.98,-1.2,-3.1,-2.5,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.82,0,-10.02040816,42.46938776,120.2244898,-4.510204082,17.81632653,-72.55102041,45.81632653,54.3877551,80.16326531,-7.93877551,-55.7755102,-293.7959184,21.46938776,-45.48979592,154.755102,-55.16326531,34.46938776,18,0,0.03,0.98,0.4,-5.8,-7.7,10.48,9.48,111.64,-66.4,13.32,-45.54,-149.58,-85.16,249.4,-159.24,73.1,128.26,45.48,28.08,214.38,1.84,17.98,-51.12,0,0.05,0.98,-1.2,-3.2,-2.4,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.84,0,-13.02040816,35.46938776,117.2244898,-0.510204082,18.81632653,-86.55102041,45.81632653,55.3877551,88.16326531,-4.93877551,-52.7755102,-273.7959184,20.46938776,-47.48979592,156.755102,-56.16326531,33.46938776,19,-0.01,0.03,0.97,0.3,-5.9,-8,9.48,6.48,107.64,-63.4,15.32,-31.54,-150.58,-97.16,246.4,-160.24,75.1,105.26,48.48,28.08,217.38,-1.16,16.98,-50.12,0,0.05,0.98,-1.1,-3.1,-2.4,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.86,0,-15.02040816,46.46938776,113.2244898,2.489795918,17.81632653,-78.55102041,45.81632653,54.3877551,78.16326531,-6.93877551,-54.7755102,-284.7959184,22.46938776,-47.48979592,157.755102,-57.16326531,33.46938776,20,-0.01,0.04,0.98,0.4,-6.1,-7.9,12.48,8.48,106.64,-62.4,14.32,-11.54,-148.58,-94.16,244.4,-156.24,74.1,124.26,47.48,28.08,223.38,-1.16,19.98,-50.12,0,0.04,0.98,-1.1,-3.3,-2.6,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.88,0,-8.020408163,43.46938776,119.2244898,-2.510204082,18.81632653,-69.55102041,47.81632653,52.3877551,76.16326531,-8.93877551,-57.7755102,-294.7959184,24.46938776,-44.48979592,157.755102,-57.16326531,32.46938776,28,-0.01,0.03,0.97,0.2,-5.6,-7.9,12.48,10.48,104.64,-58.4,16.32,-4.54,-150.58,-91.16,241.4,-158.24,75.1,117.26,49.48,28.08,227.38,-1.16,18.98,-49.12,0,0.05,0.97,-1.2,-3.1,-2.4,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.9,0,-21.02040816,40.46938776,112.2244898,1.489795918,15.81632653,-53.55102041,53.81632653,53.3877551,74.16326531,-9.93877551,-60.7755102,-306.7959184,22.46938776,-47.48979592,160.755102,-58.16326531,32.46938776,20,0,0.04,0.97,0.2,-5.6,-7.7,12.48,6.48,98.64,-55.4,12.32,-41.54,-146.58,-100.16,240.4,-155.24,77.1,118.26,49.48,28.08,235.38,-3.16,20.98,-50.12,0,0.04,0.98,-1.6,-3.1,-2.5,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.92,0,-15.02040816,46.46938776,118.2244898,-0.510204082,20.81632653,-42.55102041,53.81632653,59.3877551,75.16326531,-8.93877551,-58.7755102,-311.7959184,23.46938776,-48.48979592,164.755102,-58.16326531,33.46938776,19,-0.01,0.03,0.98,0.2,-5.9,-7.7,17.48,5.48,94.64,-53.4,14.32,-10.54,-148.58,-97.16,234.4,-152.24,75.1,112.26,52.48,31.08,244.38,-1.16,22.98,-49.12,0,0.04,0.98,-1.4,-3.1,-2.4,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
0.94,0,-16.02040816,39.46938776,119.2244898,2.489795918,17.81632653,-66.55102041,49.81632653,57.3877551,80.16326531,-6.93877551,-54.7755102,-267.7959184,22.46938776,-44.48979592,164.755102,-56.16326531,34.46938776,26,0,0.04,0.97,0.2,-5.6,-7.7,14.48,7.48,92.64,-52.4,11.32,-24.54,-142.58,-92.16,232.4,-153.24,75.1,117.26,53.48,31.08,252.38,-2.16,23.98,-43.12,0,0.05,0.98,-1.3,-3.1,-2.4,0.06397,0.20859,-0.07007,-0.06262,-0.02262,-0.08349
